pedido_id,fecha_pedido,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes,tiempo_entrega
0000120,23/18:35,SPIM,SABE,SPIM->SABE (5.9h),27,0,5.90
0000121,24/11:15,SPIM,SGAS,SPIM->SGAS (5.2h),184,0,5.20
0000122,24/02:50,SPIM,SUAA,SPIM->SGAS (5.2h) | SGAS->SUAA (2.3h),136,49,7.45
0000122,24/02:50,SPIM,SUAA,SPIM->SUAA (6.1h),49,0,6.07
0000123,24/15:25,EBCI,LATI,EBCI->LATI (2.9h),185,0,2.92
0000124,24/07:00,EBCI,EDDI,EBCI->LATI (2.9h) | LATI->EDDI (2.6h),13,173,5.55
0000124,24/07:00,EBCI,EDDI,EBCI->EDDI (1.8h),71,102,1.83
0000124,24/07:00,EBCI,EDDI,EBCI->LKPR (1.9h) | LKPR->EDDI (1.3h),102,0,3.17
0000125,24/20:15,EBCI,LOWW,EBCI->EKCH (2.0h) | EKCH->LOWW (3.0h),186,0,5.00
0000126,25/12:45,EBCI,LKPR,EBCI->EKCH (2.0h) | EKCH->LOWW (3.0h) | LOWW->LKPR (2.3h),9,178,7.33
0000126,25/12:45,EBCI,LKPR,EBCI->LKPR (1.9h),132,46,1.88
0000126,25/12:45,EBCI,LKPR,EBCI->LKPR (1.9h),46,0,1.88
0000127,25/04:20,EBCI,LDZA,EBCI->LDZA (3.3h),187,0,3.32
0000128,25/16:55,EBCI,EKCH,EBCI->LDZA (3.3h) | LDZA->EKCH (2.4h),173,15,5.75
0000128,25/16:55,EBCI,EKCH,EBCI->EKCH (2.0h),15,0,1.97
0000129,25/08:30,EBCI,EHAM,EBCI->EHAM (2.3h),188,0,2.27
0000130,25/21:45,UBBB,VIDP,UBBB->LBSF (3.9h) | LBSF->LATI (1.4h) | LATI->OERK (4.9h) | OERK->VIDP (4.9h),189,0,15.13
0000131,26/10:00,UBBB,OSDI,UBBB->LBSF (3.9h) | LBSF->LATI (1.4h) | LATI->OERK (4.9h) | OERK->VIDP (4.9h) | VIDP->OAKB (3.3h) | OAKB->OSDI (4.8h),111,78,23.23
